Unnamed: 0,CPU cores,CPU freq,CPU model,RAM,ROM,SIM cards,battery,brand,charging port,comments,front camera,model,month,price,rear camera,rear camera specs,resolution,screen material,screen size,weight,year
50638673523,,,,,,,4000.0,HUAWEI,Type-C,100.0,,nova5i,,2199.1,4.0,,737156.0,,6.4,,2019年
6305258,单核,0.26GHz,,,,2个,1400.0,Philips,Micro USB,230000.0,,E171L,1月,198.0,1.0,30万像素,76800.0,TFT,2.4,111,2018年
46554056191,,,麒麟980,,,2个,3650.0,HUAWEI,Type-C,300.0,,HUAWEI P30,4月,4288.0,3.0,,697416.0,OLED,6.1,165,2019年
39874486082,八核,,麒麟710,6.0,128.0,2个,4000.0,HUAWEI,,600.0,1600万+200万像素,,10月,1538.0,2.0,1300万+200万像素,2527200.0,,6.5,173,2018年
45185781314,八核,,Helio P35,6.0,128.0,2个,3000.0,XIAOMI,Micro USB,1000.0,800万像素,小米Play,12月,1058.0,2.0,1200万+200万像素,2462400.0,,5.84,150,2018年
44037826021,,,骁龙632,,,2个,4000.0,XIAOMI,Micro USB,2500.0,,红米7,3月,878.0,2.0,,699383.0,,6.26,180,2019年
35501118481,四核,4*1.5GHz,,2.0,16.0,2个,3020.0,HUAWEI,Micro USB,2600.0,500万像素,荣耀畅玩7,5月,499.0,1.0,1300万像素,1036800.0,IPS,5.45,142,2018年
40854489481,,,,3.0,32.0,2个,3020.0,,Micro USB,2000.0,,,1月,645.0,,,596120.0,,,150,2019年
32944874905,,,,,64.0,2个,,,Lightning（iPhone）,4300.0,700万像素,iPhone XS Max,9月,7599.0,2.0,双1200万像素,3338496.0,OLED,6.5,208,2018年
32973217255,,,,,,2个,,,Lightning（iPhone）,3000.0,,iPhone XR,10月,6318.0,1.0,,726002.0,LCD,6.1,194,2018年
27398202268,八核,,麒麟970,6.0,128.0,2个,3400.0,,Type-C,16000.0,2400万像素,荣耀10,4月,1865.0,,2400万+1600万像素,2419200.0,IPS,5.84,153,2018年
43361417622,,,麒麟710,,,2个,3340.0,,Type-C,800.0,,nova 4e,3月,1999.0,3.0,,746545.0,LTPS,6.15,159,2019年
34871707227,八核,以官网为准,麒麟710,6.0,128.0,2个,3400.0,,Micro USB,3500.0,2400万像素,荣耀10青春版,11月,1495.0,2.0,1300万+200万像素,2527200.0,,6.21,162,2018年
34304240217,,,麒麟980,6.0,128.0,2个,4000.0,,Type-C,1500.0,,mate20,10月,3699.0,,,728961.0,TFT,6.53,188,2018年
33686785113,,,麒麟710,6.0,128.0,2个,3400.0,HUAWEI,,4000.0,,荣耀10青春版,,1488.0,,,697416.0,IPS,6.21,162,2018年
33723871411,,,,,,,,,,6200.0,,,,5728.0,,,,,,,
35227068942,,,骁龙845,8.0,128.0,2个,3200.0,XIAOMI,Type-C,1000.0,,MIX3,,2568.0,,,697416.0,AMOLED,6.39,218,2018年
45105622337,,,,8.0,128.0,2个,4200.0,HUAWEI,Type-C,400.0,,p30pro,,5488.0,,,697416.0,OLED,6.47,192,2019年
40776684811,,,,,,,,,,700.0,,8A,1月,659.0,1.0,,596120.0,,,,2019年
51119907174,,,,,,2个,3020.0,,Micro USB,7000.0,,荣耀畅玩7,5月,454.5,1.0,,655599.0,IPS,5.45,142,2018年
29058692622,四核,,,2.0,32.0,2个,3020.0,HUAWEI,Micro USB,1700.0,500万像素,畅享8e青春版,6月,549.0,1.0,1300万像素,1036800.0,TFT,5.45,142,2018年
39574671983,,,麒麟980,,,2个,4200.0,HUAWEI,Type-C,2400.0,,以官网为准,10月,5099.0,3.0,,729589.0,OLED,6.39,189,2018年
34531993977,,,骁龙660,,,2个,3600.0,OPPO,Micro USB,4100.0,,R15x,11月,1699.0,2.0,,2527200.0,OLED,6.4,156,2018年
40193639524,,,Helio P35,4.0,64.0,2个,3000.0,XIAOMI,Micro USB,800.0,,小米play,12月,758.0,,,2462400.0,,5.84,155,2018年
27608088838,,,骁龙660,,,2个,3010.0,,Type-C,1600.0,,6X,4月,908.0,2.0,,659074.0,,5.99,168,2018年
40851580302,,,Helio P35,3.0,32.0,2个,3020.0,HUAWEI,Micro USB,1900.0,,荣耀畅玩8A,1月,648.0,,,596120.0,IPS,,150,2019年
44221160776,,,骁龙710,,,2个,3765.0,OPPO,Type-C,3200.0,,reno,4月,2599.0,2.0,,754689.0,AMOLED,6.4,185,2019年
41570114501,,,骁龙855,6.0,128.0,2个,3300.0,XIAOMI,Type-C,800.0,,小米9,2月,2698.0,,,2527200.0,AMOLED,6.39,173,2019年
43554112022,,,骁龙675,,,2个,4000.0,XIAOMI,Type-C,4400.0,,红米Note7 Pro,3月,1398.0,2.0,,2527200.0,,6.3,186,2019年
34240993734,,,,4.0,64.0,2个,4000.0,,Micro USB,3000.0,,畅玩8c,10月,989.1,,,1094400.0,,6.26,167,2018年
40359329680,,,麒麟980,,,2个,4000.0,HUAWEI,Type-C,1700.0,,荣耀V20,12月,2909.0,2.0,,737156.0,IPS,6.4,180,2018年
4526055,,,,,,2个,1400.0,K-Touch,Micro USB,22000.0,,N1,,99.0,1.0,30万像素,76800.0,,2.4,108,2019年
32249341318,,,,,,2个,4230.0,OPPO,Micro USB,16000.0,,A5,9月,899.0,2.0,,1094400.0,TFT,6.2,168,2018年
44136237844,,,麒麟980,,,2个,3650.0,HUAWEI,Type-C,1100.0,,p30,4月,4288.0,3.0,,2527200.0,OLED,6.1,165,2019年
45483312639,八核,,MT6765,3.0,64.0,2个,3020.0,HUAWEI,Micro USB,500.0,800万像素,畅享9e,3月,799.0,1.0,1300万像素,1123200.0,TFT LCD（IPS）,6.088,150,2019年
34641970468,,,麒麟980,,,2个,5000.0,,Type-C,2800.0,,Mate 20 X,10月,4099.0,3.0,,728961.0,OLED,7.2,232,2018年
47362042157,,,骁龙730,,,2个,,XIAOMI,Type-C,300.0,,红米K20,5月,2099.1,3.0,,697416.0,,6.39,191,2019年
50633837805,,,,,,2个,3020.0,HUAWEI,,200.0,,荣耀畅玩8A,1月,719.0,1.0,,596120.0,,6.088,150,2019年
100005150846,,,骁龙855,,,2个,5000.0,nubia,Type-C,51000.0,,红魔3,4月,2999.0,1.0,,,AMOLED,6.65,215,2019年
34642216197,,,麒麟980,,,2个,4000.0,HUAWEI,Type-C,3000.0,,Mate 20,10月,3699.0,3.0,,2423520.0,TFT,6.53,188,2018年
32943776930,,,,,128.0,2个,,,Lightning（iPhone）,2700.0,700万像素,iPhone XR,10月,5368.0,1.0,1200万像素,1483776.0,LCD,6.1,194,2018年
39875396099,,,,,,2个,3750.0,,Type-C,2000.0,,VCE-AL00,12月,2799.0,3.0,,737156.0,,6.4,172,2018年
45609709992,,,,6.0,64.0,2个,3400.0,,Micro USB,1000.0,,,4月,1399.1,,,697416.0,IPS,6.21,164,2019年
44613965654,,,,3.0,32.0,2个,3020.0,HUAWEI,Micro USB,500.0,800万像素,荣耀畅玩8A,,699.0,,1300万像素,,IPS,6.088,150,2019年
47320045151,,,,,,2个,4020.0,OPPO,Micro USB,3100.0,,A9,5月,1399.0,2.0,,2527200.0,AMOLED,6.53,190,2019年
49434407772,,,骁龙710,,,2个,5000.0,vivo,Micro USB,14000.0,,Z5x,5月,1498.0,3.0,,2527200.0,LCD,6.53,204,2019年
48270371045,,,麒麟980,,,2个,4000.0,HUAWEI,Type-C,100.0,,荣耀20pro,6月,3509.0,4.0,,754689.0,TFT LCD（IPS）,6.26,182,2019年
7356377,,,,,,2个,1050.0,Philips,Micro USB,37000.0,,E152Y,4月,179.0,1.0,30万像素,76800.0,TFT,2.4,138,2018年
50625029797,,,,,,2个,,,Micro USB,20.0,,,,999.0,,,,,,,2019年
50078512542,,,,,,2个,4000.0,HUAWEI,Type-C,100.0,,华为nova5i,6月,2199.8,4.0,,737156.0,,6.4,178,2019年
41153682184,,,,,,2个,3315.0,vivo,Micro USB,3600.0,,Z3,1月,1198.0,2.0,,683880.0,LCD,6.3,163,2019年
27317494111,,,,,,2个,3200.0,HUAWEI,Type-C,2800.0,,VTR-AL00,3月,1658.0,2.0,,683870.0,TFT,5.1,145,2017年
100000993249,八核,最高1.8GHz,骁龙636,6.0,128.0,2个,4050.0,lenovo,Type-C,60000.0,1600万+500万像素,Lenovo K5 Pro,10月,898.0,2.0,1600万+500万像素,2332800.0,IPS,5.99,165,2018年
28421633759,,,,2.0,16.0,2个,3020.0,HUAWEI,Micro USB,1500.0,,荣耀畅玩7,5月,468.0,,,655599.0,,,142,2018年
32402982451,,,,3.0,32.0,,3000.0,XIAOMI,,10000.0,500万像素,红米6A,6月,578.0,1.0,1300万像素,1036800.0,,5.45,145,2018年
8184522,,,,,,2个,1050.0,Philips,Micro USB,190000.0,,E163K,7月,139.0,1.0,30万像素,76800.0,TFT,1.77,83,2018年
43298116984,,,麒麟710,,,2个,3340.0,,Type-C,600.0,,,3月,1999.0,3.0,,,,6.15,,2019年
47824517783,,,骁龙710,,,2个,3765.0,OPPO,Type-C,2600.0,,K3,6月,1599.0,2.0,,754689.0,AMOLED,6.5,191,2019年
5657581,,,,,,2个,1050.0,Philips,Micro USB,14000.0,,E255,6月,218.0,1.0,30万像素,76800.0,TFT,2.4,100,2017年
8717360,,,,,,2个,1050.0,Philips,Micro USB,110000.0,,E258S,8月,169.0,1.0,30万像素,76800.0,TFT,2.4,99,2018年
32975118579,,,,,,1个,,Apple,Lightning（iPhone）,1000.0,,苹果XS,9月,8886.0,2.0,,596120.0,OLED,5.8,177,2018年
32561702252,,,,2.0,32.0,2个,3020.0,HUAWEI,Micro USB,2100.0,,DRA-AL00,6月,558.0,,,655599.0,TFT,5.45,142,2018年
48291047370,,,麒麟980,,,2个,3750.0,HUAWEI,Type-C,200.0,,荣耀20,6月,2999.0,4.0,,697416.0,TFT LCD（IPS）,6.26,174,2019年
100003440801,八核,2.1GHz,P70,6.0,128.0,2个,4020.0,,Micro USB,2700.0,1600万像素,A9x,5月,1999.0,2.0,4800万+500万像素,2527200.0,TFT,6.53,190,2019年
4270023,单核,255MHz,,,,1个,,K-Touch,Micro USB,51000.0,,E2,11月,139.0,1.0,8万像素,76800.0,TFT,2.4,63,2018年
47823908225,,,骁龙710,,,2个,3765.0,,Type-C,2300.0,,0,5月,1599.0,,,697416.0,AMOLED,6.5,191,2019年
44208913413,,,麒麟980,,,2个,4200.0,HUAWEI,Type-C,600.0,,P30 pro,4月,5488.0,4.0,,2527200.0,OLED,6.47,192,2019年
44242741734,,,,,,2个,3765.0,,,2600.0,,Reno,4月,2599.0,,,754689.0,AMOLED,,185,2019年
41859075461,八核,,骁龙712,6.0,64.0,2个,3070.0,XIAOMI,Type-C,700.0,2000万像素,,2月,1778.0,3.0,4800万+1300万+800万像素,2527200.0,AMOLED,5.97,155,2019年
47687621518,,,骁龙710,,,2个,3765.0,OPPO,Type-C,2500.0,,K3,,1899.0,2.0,,2527200.0,,6.5,191,2019年
100002749549,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8.0,128.0,2个,3650.0,HUAWEI,Type-C,290000.0,3200万像素,HUAWEI P30,4月,4288.0,3.0,4000+1600+800万像素,2527200.0,OLED,6.1,165,2019年
8735304,八核,4 × Cortex A73 2.2 GHz + 4 × Cortex A53 1.7 GHz,麒麟710,4.0,64.0,2个,3750.0,HUAWEI,Micro USB,1780000.0,1600万像素,荣耀8X,9月,1099.0,2.0,2000万像素,2527200.0,IPS,6.5,175,2018年
100000651175,八核,1.95GHz,骁龙660,4.0,64.0,,3600.0,OPPO,Micro USB,410000.0,2500万像素,K1,10月,1199.0,2.0,1600+200万像素,2527200.0,OLED,6.4,156,2018年
100000177760,,,,,128.0,2个,,Apple,Lightning（iPhone）,1540000.0,700万像素,iPhone XR,10月,5399.0,1.0,1200万像素,1483776.0,LCD,6.1,194,2018年
7652013,,,骁龙660,,,2个,4000.0,XIAOMI,Type-C,810000.0,,红米Note7,1月,1199.0,2.0,,,LCD,6.3,186,2019年
100003534811,八核,,骁龙855,8.0,128.0,2个,4000.0,XIAOMI,Type-C,160000.0,2000万像素,Redmi K20pro,5月,2799.0,3.0,4800万+1300万+800万像素,2527200.0,,6.39,191,2019年
100003717483,八核,2×Cortex A76 2.6GHz+2×Cortex A76 1.92GHz+4×Cortex A55 1.8GHz,麒麟980,,,2个,3500.0,HUAWEI,Type-C,38000.0,3200万像素,nova 5 Pro,6月,2999.0,4.0,4800万+1600万+200万+200万像素,2527200.0,OLED,6.39,171,2019年
100001550349,八核,4×Cortex A73 2.2GHz +4*Cortex A53 1.7GHz,麒麟710,4.0,64.0,2个,3400.0,HUAWEI,Micro USB,700000.0,2400万像素,荣耀10青春版,11月,1099.0,2.0,1300+200万像素,,IPS,6.21,162,2018年
100004323294,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8.0,128.0,2个,4200.0,HUAWEI,Type-C,290000.0,3200万像素,HUAWEI P30 Pro,4月,5488.0,4.0,4000万+2000万+800万像素,2527200.0,OLED,6.47,192,2019年
